user_id,n_communities,total_out_degree,out_ai_ml,out_web_frontend,out_mobile,out_cloud_devops,out_databases
1144035,5,64536,179,133,117,298,63809
3732271,5,19816,19716,22,1,4,73
19068,5,18728,5,18021,118,57,527
115145,5,17909,2,199,17104,92,512
157247,5,17666,1,17142,269,24,230
1491895,5,17113,247,10187,35,58,6586
209103,5,15466,6,4179,6238,4817,226
1863229,5,14101,1798,771,254,85,11193
1447675,5,12046,7,11942,46,3,48
10676716,5,10561,39,68,23,47,10384
1048572,5,9940,4,9396,36,26,478
816620,5,9827,5,9379,54,81,308
807126,5,9462,5,2079,2826,4457,95
9515207,5,9134,10,8943,95,46,40
1766831,5,8994,38,150,23,108,8675
519413,5,8908,1,8851,13,5,38
295783,5,7739,2,7637,41,5,54
20860,5,7604,10,60,10,83,7441
10498828,5,7555,20,12,823,14,6686
6464308,5,7124,10,37,5,161,6911
9097906,5,7032,11,63,2,15,6941
5459839,5,6737,47,5749,43,19,879
174777,5,6528,30,93,24,6037,344
965051,5,6466,1,6404,10,2,49
1509264,5,6380,10,137,2,2,6229
3522312,5,6309,12,792,21,18,5466
8690857,5,6224,2,5817,338,50,17
217408,5,6112,5,4081,1955,46,25
11654,5,6000,16,75,1387,2,4520
182668,5,5934,2,5878,12,2,40
1271826,5,5906,2,31,5551,6,316
939860,5,5487,8,23,1,12,5443
69083,5,5419,4,4346,26,7,1036
5246885,5,5414,2,163,3294,1861,94
118068,5,5346,5,1926,112,8,3295
3832970,5,5161,1556,2605,399,86,515
1855677,5,5126,5088,8,3,3,24
218196,5,5075,5,4902,43,5,120
6309,5,5061,135,507,552,3664,203
248823,5,5053,83,81,2,4744,143
1749403,5,5022,5,3618,277,989,133
1226963,5,4855,2,13,4719,5,116
575376,5,4765,3,5,18,1,4738
266304,5,4712,1,6,1,7,4697
462627,5,4676,1,4391,15,1,268
4238408,5,4656,4617,3,20,1,15
205185,5,4597,1,16,4556,13,11
383904,5,4562,1,4549,6,3,3
2422776,5,4516,39,266,105,65,4041
205608,5,4466,7,386,25,50,3998
