user_id,n_communities,total_out_degree,out_ai_ml,out_web_frontend,out_mobile,out_cloud_devops,out_databases
1144035,5,64536,179,133,117,298,63809
3732271,5,19816,19716,22,1,4,73
19068,5,18728,5,18021,118,57,527
115145,5,17909,2,199,17104,92,512
157247,5,17666,1,17142,269,24,230
1491895,5,17113,247,10187,35,58,6586
209103,5,15466,6,4179,6238,4817,226
1863229,5,14101,1798,771,254,85,11193
1447675,5,12046,7,11942,46,3,48
10676716,5,10561,39,68,23,47,10384
1048572,5,9940,4,9396,36,26,478
816620,5,9827,5,9379,54,81,308
807126,5,9462,5,2079,2826,4457,95
9515207,5,9134,10,8943,95,46,40
1766831,5,8994,38,150,23,108,8675
519413,5,8908,1,8851,13,5,38
295783,5,7739,2,7637,41,5,54
20860,5,7604,10,60,10,83,7441
10498828,5,7555,20,12,823,14,6686
6464308,5,7124,10,37,5,161,6911
9097906,5,7032,11,63,2,15,6941
5459839,5,6737,47,5749,43,19,879
174777,5,6528,30,93,24,6037,344
965051,5,6466,1,6404,10,2,49
1509264,5,6380,10,137,2,2,6229
3522312,5,6309,12,792,21,18,5466
8690857,5,6224,2,5817,338,50,17
217408,5,6112,5,4081,1955,46,25
11654,5,6000,16,75,1387,2,4520
182668,5,5934,2,5878,12,2,40
1271826,5,5906,2,31,5551,6,316
939860,5,5487,8,23,1,12,5443
69083,5,5419,4,4346,26,7,1036
5246885,5,5414,2,163,3294,1861,94
118068,5,5346,5,1926,112,8,3295
3832970,5,5161,1556,2605,399,86,515
1855677,5,5126,5088,8,3,3,24
218196,5,5075,5,4902,43,5,120
6309,5,5061,135,507,552,3664,203
248823,5,5053,83,81,2,4744,143
1749403,5,5022,5,3618,277,989,133
1226963,5,4855,2,13,4719,5,116
575376,5,4765,3,5,18,1,4738
266304,5,4712,1,6,1,7,4697
462627,5,4676,1,4391,15,1,268
4238408,5,4656,4617,3,20,1,15
205185,5,4597,1,16,4556,13,11
383904,5,4562,1,4549,6,3,3
2422776,5,4516,39,266,105,65,4041
205608,5,4466,7,386,25,50,3998
1631193,5,4454,4,39,4275,14,122
5070879,5,4389,27,25,19,48,4270
1187415,5,4364,2,14,4289,3,56
5260024,5,4353,2,4231,42,9,69
29407,5,4325,1,3944,24,36,320
34397,5,4287,2,3887,102,14,282
15239951,5,4223,4155,17,1,8,42
2887218,5,4114,1,4105,4,2,2
97337,5,4092,3,30,4037,7,15
5157454,5,4025,1,3941,75,4,4
4604579,5,4001,16,92,7,117,3769
128165,5,3986,1,3824,13,1,147
263525,5,3943,3,3767,44,1,128
1422451,5,3906,2252,13,2,11,1628
10008173,5,3873,11,120,3,3458,281
101361,5,3689,1,8,2697,4,979
4744514,5,3656,12,10,1930,2,1702
107744,5,3599,2,38,10,3,3546
3371862,5,3394,1,1263,374,1737,19
328193,5,3339,2,2616,39,7,675
13070,5,3322,7,96,236,2795,188
146325,5,3252,12,6,4,4,3226
55159,5,3239,3,22,1,119,3094
5193536,5,3209,20,41,5,34,3109
188096,5,3203,17,141,30,2954,61
77567,5,3189,1,16,3159,2,11
454533,5,3184,7,2411,16,2,748
106224,5,3180,2,2767,316,3,92
9473764,5,3161,329,738,6,9,2079
1377002,5,3101,2,3049,37,3,10
187606,5,3097,3,2318,20,1,755
283366,5,3073,1,2554,32,65,421
390330,5,3072,1,2973,59,16,23
436560,5,3071,26,1866,150,29,1000
2308683,5,3068,99,77,1651,836,405
3027266,5,2996,1,109,1,54,2831
479863,5,2981,4,1589,48,4,1336
285587,5,2949,1,353,8,2,2585
3349551,5,2948,4,5,3,6,2930
1529673,5,2911,3,44,1,3,2860
190597,5,2906,2550,61,2,4,289
256196,5,2900,15,81,29,14,2761
2016562,5,2894,1,7,2874,10,2
5529445,5,2879,3,4,1,13,2858
1210329,5,2848,2,2762,17,5,62
571407,5,2801,2,1702,355,24,718
105929,5,2798,2,14,19,65,2698
567435,5,2773,2,51,9,13,2698
5133585,5,2765,12,52,2691,1,9
335858,5,2760,13,11,1671,5,1060
7297700,5,2737,40,15,4,406,2272
3043,5,2731,3,289,9,20,2410
87015,5,2705,4,1245,3,7,1446
6436191,5,2626,5,11,11,16,2583
3418066,5,2610,1,8,2574,22,5
398670,5,2599,7,13,11,43,2525
10157127,5,2596,1,5,2510,74,6
476,5,2571,11,1757,21,21,761
643383,5,2569,9,8,2530,3,19
11372593,5,2559,47,55,16,2349,92
2313887,5,2523,1,534,5,1,1982
1984039,5,2508,1,2496,8,1,2
10138734,5,2506,5,21,2,3,2475
14868997,5,2506,6,5,2,54,2439
9513184,5,2505,13,2452,27,2,11
11565629,5,2424,5,2,1,7,2409
143305,5,2423,2287,4,7,52,73
6808583,5,2384,53,3,2,11,2315
18936,5,2379,8,1981,53,1,336
157882,5,2357,1,1877,104,5,370
2827823,5,2355,1,2331,20,1,2
506796,5,2340,1,4,2316,15,4
135152,5,2330,1,8,10,2,2309
1353011,5,2304,1,2218,10,6,69
215752,5,2301,1,491,5,4,1800
3470178,5,2290,9,21,5,3,2252
53341,5,2283,20,6,4,13,2240
596285,5,2281,6,21,1,2177,76
5535245,5,2275,1,2200,52,4,18
1073631,5,2264,5,51,4,4,2200
10221765,5,2246,1,2199,20,6,20
1501794,5,2241,5,668,44,9,1515
1695906,5,2239,3,72,16,1623,525
771848,5,2227,74,1751,15,16,371
