user_id,betweenness,out_degree,in_degree,total_degree
1144035,0.11821555018410429,63809,0,63809
73226,0.03394705117806131,3943,16,3959
27535,0.027682404184848883,3482,25,3507
13302,0.02743727472482264,4215,82,4297
50552,0.02578076644623729,3565,23,3588
55159,0.023180307664174997,3094,0,3094
9034,0.01633056619513617,2217,0,2217
105929,0.015251381794024427,2698,9,2707
135152,0.0146585868465917,2309,46,2355
20860,0.013606072004507828,7441,6,7447
117700,0.012268256113371843,31,870,901
61305,0.011710040323073132,2915,3,2918
18255,0.011336744989647912,1305,178,1483
5070879,0.01129310964072501,4270,52,4322
15498,0.011251859983021795,2633,5,2638
53341,0.010322934644262592,2240,65,2305
491243,0.00871760311848675,4639,33,4672
3043,0.00805502530795968,2410,60,2470
569436,0.007741492288585203,1902,3,1905
575376,0.007665705601469767,4738,70,4808
65223,0.007559429204413326,1141,76,1217
341251,0.007426296367200488,1769,1,1770
1863229,0.007074499467253312,11193,25,11218
426671,0.006995946843072547,2878,37,2915
284240,0.00663814520102921,1546,126,1672
651174,0.006593862317708725,24,828,852
344949,0.006099774139932192,2180,8,2188
16076,0.006085216437065742,1362,0,1362
573261,0.005930402383105152,1628,12,1640
109035,0.005745372524380569,543,254,797
3349551,0.005636130337433296,2930,91,3021
39430,0.005564922729059825,1391,5,1396
61974,0.005196827503832401,1891,0,1891
10397,0.0051366115959944215,2884,0,2884
226897,0.0049393645003255994,602,243,845
256196,0.004927859743910343,2761,28,2789
5696608,0.004901390380026665,1114,59,1173
146325,0.004669261939064243,3226,0,3226
144424,0.004664479377974324,1339,3,1342
607314,0.004631414432563651,1612,72,1684
297408,0.004601079033575293,1468,0,1468
87015,0.004142182302047392,1446,96,1542
32632,0.004139839828919961,1229,10,1239
2041092,0.0040190891592261,2314,33,2347
69083,0.003980368667592397,1036,0,1036
15354,0.003868665605479276,1056,37,1093
740,0.003680208843324281,956,0,956
1080354,0.003613715121056132,1276,153,1429
128071,0.0035606136603998943,0,364,364
266304,0.003546164977176346,4697,0,4697
