user_id,betweenness,out_degree,in_degree,total_degree
157247,0.034744812474331796,17142,51,17193
19068,0.03152162916421114,18021,6,18027
816620,0.0198903897553445,9379,77,9456
182668,0.016826406867964796,5878,78,5956
218196,0.015348110801615815,4902,105,5007
1048572,0.013636824084346907,9396,37,9433
69083,0.011564185662660618,4346,0,4346
82548,0.01105606805991548,4211,56,4267
31671,0.010832414831128252,2532,621,3153
507674,0.0099704034536719,4588,261,4849
965051,0.009809003618849243,6404,0,6404
34397,0.009383947707526744,3887,0,3887
114251,0.009185768949429556,8581,61,8642
106224,0.008391764434333709,2767,7,2774
29407,0.007933161829682867,3944,36,3980
128165,0.007914771683773532,3824,5,3829
519413,0.0067517406853971175,8851,5,8856
13249,0.006695979917249227,3666,0,3666
1175966,0.0061313164949526764,6892,0,6892
14104,0.006064736869788366,6289,6,6295
859154,0.0060150142157735535,744,867,1611
84201,0.005729289540983768,83,2329,2412
616443,0.005669777795562161,4514,16,4530
12579,0.005490549378891884,3191,124,3315
187606,0.0053812221674048545,2318,341,2659
139459,0.0052257819259360575,1950,274,2224
2138752,0.00505880779765044,2673,673,3346
425275,0.004999961738214425,1132,446,1578
383904,0.004951295964131314,4549,73,4622
1386886,0.004924601185134058,1698,168,1866
113716,0.004770148293449882,1934,100,2034
263525,0.0047568556175980594,3767,58,3825
257182,0.0045134599623738,4198,31,4229
514749,0.004511731357856611,1257,372,1629
1491895,0.004383388805563624,10187,15,10202
4653,0.004358662389073988,11,1765,1776
295783,0.004318813227374883,7637,161,7798
848164,0.004298202430371288,2966,2,2968
454533,0.00422925420391077,2411,215,2626
938089,0.004202489932530307,1888,9,1897
561731,0.0040177208684904955,1592,143,1735
1084437,0.003992606067029218,3238,10,3248
6782,0.0038295045312011144,2394,21,2415
1529630,0.0035890128320844425,3101,93,3194
139010,0.003558827905343634,1750,141,1891
70393,0.0035520802464542407,1565,22,1587
772055,0.0035152214511808178,2118,12,2130
615754,0.003505267651199784,2817,5,2822
2801559,0.0034788895140731406,4823,104,4927
1447675,0.003406279071451291,11942,0,11942
