community,window_start,window_end,window_mid,n_questions,n_nodes,n_edges,density,modularity_Q,n_louvain_communities,null_mean_Q,null_std_Q
ai_ml,2015-01-01,2015-07-01,2015-04-01,32129,97,248,0.053265,0.398845,60,0.170886,0.010113
ai_ml,2015-04-01,2015-10-01,2015-07-01,35162,97,278,0.059708,0.412854,59,0.158937,0.011244
ai_ml,2015-07-01,2016-01-01,2015-10-01,36658,97,351,0.075387,0.442965,50,0.156073,0.007992
ai_ml,2015-10-01,2016-04-01,2016-01-01,39652,97,406,0.087199,0.440386,49,0.142773,0.00372
ai_ml,2016-01-01,2016-07-01,2016-04-01,44075,97,440,0.094502,0.41663,51,0.128749,0.002486
ai_ml,2016-04-01,2016-10-01,2016-07-01,45377,97,463,0.099442,0.400117,47,0.128673,0.008058
ai_ml,2016-07-01,2017-01-01,2016-10-01,45424,97,485,0.104167,0.385327,46,0.133008,0.009786
ai_ml,2016-10-01,2017-04-01,2017-01-01,50526,97,516,0.110825,0.363706,44,0.122028,0.003428
ai_ml,2017-01-01,2017-07-01,2017-04-01,57816,97,581,0.124785,0.361276,39,0.125128,0.003092
ai_ml,2017-04-01,2017-10-01,2017-07-01,61516,97,620,0.133162,0.359395,38,0.130145,0.003585
ai_ml,2017-07-01,2018-01-01,2017-10-01,61405,97,642,0.137887,0.345599,36,0.127666,0.003402
ai_ml,2017-10-01,2018-04-01,2018-01-01,63163,97,645,0.138531,0.337959,36,0.125118,0.004103
ai_ml,2018-01-01,2018-07-01,2018-04-01,67295,97,709,0.152277,0.330622,32,0.1261,0.008067
ai_ml,2018-04-01,2018-10-01,2018-07-01,67198,97,731,0.157002,0.344025,32,0.13099,0.003475
ai_ml,2018-07-01,2019-01-01,2018-10-01,64782,97,716,0.15378,0.353606,32,0.121453,0.00416
ai_ml,2018-10-01,2019-04-01,2019-01-01,66659,97,750,0.161082,0.355312,29,0.12578,0.004929
ai_ml,2019-01-01,2019-07-01,2019-04-01,70058,97,795,0.170747,0.353236,26,0.127973,0.008603
ai_ml,2019-04-01,2019-10-01,2019-07-01,69796,97,791,0.169888,0.357757,26,0.123394,0.003319
ai_ml,2019-07-01,2020-01-01,2019-10-01,71013,97,817,0.175473,0.358077,27,0.124627,0.004204
ai_ml,2019-10-01,2020-04-01,2020-01-01,76048,97,875,0.18793,0.351561,26,0.116445,0.003793
ai_ml,2020-01-01,2020-07-01,2020-04-01,89808,97,944,0.202749,0.358924,21,0.113446,0.004327
ai_ml,2020-04-01,2020-10-01,2020-07-01,91817,97,952,0.204467,0.364548,18,0.119102,0.007645
ai_ml,2020-07-01,2021-01-01,2020-10-01,80818,97,909,0.195232,0.366876,18,0.126681,0.006162
