tag_a,tag_b,pre_rate,post_rate,diff
deep-learning,pytorch,0.0028127386692817662,0.009193044525574918,0.006380305856293152
langchain,openai-api,0.0,0.00462945538033046,0.00462945538033046
machine-learning,pytorch,0.001666674198636111,0.006059693627912229,0.004393019429276118
chatgpt-api,openai-api,0.0,0.004093116037487297,0.004093116037487297
langchain,large-language-model,0.0,0.0036226429297301368,0.0036226429297301368
huggingface-transformers,pytorch,0.0005305519276569399,0.003669690240505853,0.003139138312848913
huggingface,huggingface-transformers,6.959539766539076e-05,0.003011027889645828,0.002941432491980437
huggingface-transformers,nlp,0.00046999489332471677,0.00336858745154127,0.002898592558216553
langchain,py-langchain,0.0,0.002521735857578381,0.002521735857578381
plotly,r,0.0034291550486037986,0.00541985020136249,0.0019906951527586918
gpt-3,openai-api,3.434578066603699e-05,0.0018066167337874967,0.0017722709531214596
deep-learning,machine-learning,0.005827032840893171,0.007565207572735142,0.001738174731841971
neural-network,pytorch,0.001304235828976089,0.003020437351800971,0.001716201522824882
large-language-model,openai-api,0.0,0.0016372464149949188,0.0016372464149949188
pytorch,pytorch-lightning,0.00026030486399522773,0.0017031126500809213,0.0014428077860856934
huggingface-transformers,large-language-model,2.711508999950289e-06,0.0014396477097369114,0.0014369362007369611
conv-neural-network,pytorch,0.001052065491980712,0.0024652790846475215,0.0014132135926668095
huggingface,pytorch,1.7172890333018497e-05,0.001373781474650909,0.0013566085843178905
nlp,pytorch,0.00047903325665788436,0.0018160261959426398,0.0013369929392847554
openai-gym,reinforcement-learning,0.0003362271159938358,0.0016560653393052052,0.0013198382233113694
