tag_a,tag_b,pre_rate,post_rate,diff
numpy,scipy,0.007547033383194971,0.0035003199217132747,-0.004046713461481697
keras,tensorflow,0.021323306775609074,0.01860250668071813,-0.0027208000948909447
numpy,pandas,0.017663673462009498,0.015130415145470285,-0.0025332583165392133
machine-learning,neural-network,0.005192539734904803,0.0027569724114569613,-0.002435567323447842
matplotlib,pandas,0.009679183293489215,0.007339380481011706,-0.002339802812477509
matplotlib,numpy,0.005617342811563682,0.0036132334675749935,-0.0020041093439886882
neural-network,tensorflow,0.0044803167042511945,0.002615830479129813,-0.0018644862251213814
keras,neural-network,0.003955187794594155,0.002117128984907223,-0.0018380588096869321
keras,machine-learning,0.006277143334884919,0.004450675599382739,-0.00182646773550218
machine-learning,scikit-learn,0.007201767903867968,0.005495125898603636,-0.001706642005264332
deep-learning,keras,0.007399708060864338,0.005993827392826226,-0.0014058806680381127
classification,machine-learning,0.002619317693951979,0.0013079152395649065,-0.0013114024543870726
machine-learning,svm,0.0015817135833043352,0.0004798825699123038,-0.0011018310133920314
nlp,nltk,0.002010132005296481,0.0009409462155143212,-0.0010691857897821599
caffe,deep-learning,0.0010737575639803145,9.409462155143212e-06,-0.0010643481018251712
machine-learning,tensorflow,0.008509619078177324,0.0074805224133388535,-0.00102909666483847
pandas,scikit-learn,0.002902218466280126,0.0019383492039595016,-0.0009638692623206242
numpy,scikit-learn,0.0019495749709642577,0.0009879935262900373,-0.0009615814446742204
keras,lstm,0.0027675468526159284,0.0018442545824080695,-0.0009232922702078589
conv-neural-network,keras,0.0032628491632735145,0.002361775000940946,-0.0009010741623325684
