tag_a,tag_b,pre_rate,post_rate,diff
langchain,openai-api,0.0,0.06870548806032677,0.06870548806032677
chatgpt-api,openai-api,0.0,0.06074570590699623,0.06074570590699623
langchain,large-language-model,0.0,0.053763440860215055,0.053763440860215055
langchain,py-langchain,0.0,0.037424940650747106,0.037424940650747106
large-language-model,openai-api,0.0,0.024298282362798494,0.024298282362798494
huggingface,huggingface-transformers,0.021394831897749374,0.044686496299399525,0.02329166440165015
huggingface-transformers,large-language-model,0.0008335648791330926,0.0213657310431504,0.020532166164017308
large-language-model,llama,0.0,0.016617790811339198,0.016617790811339198
gpt-3,openai-api,0.010558488469019172,0.026811897779639715,0.016253409310620543
chromadb,langchain,0.0,0.01508169250104734,0.01508169250104734
huggingface,large-language-model,0.0,0.013964530093562352,0.013964530093562352
openai-api,py-langchain,0.0,0.013685239491691105,0.013685239491691105
gpt-4,openai-api,0.0,0.011450914676721128,0.011450914676721128
large-language-model,llama-index,0.0,0.00991481636642927,0.00991481636642927
chatgpt-api,langchain,0.0,0.00907694456081553,0.00907694456081553
huggingface-transformers,llama,0.0,0.008658008658008658,0.008658008658008658
large-language-model,py-langchain,0.0,0.008239072755201788,0.008239072755201788
llama-index,openai-api,0.0,0.008099427454266164,0.008099427454266164
langchain,pinecone,0.0,0.007680491551459293,0.007680491551459293
langchain,llama-index,0.0,0.007261555648652423,0.007261555648652423
