tag_a,tag_b,pre_rate,post_rate,diff
bert-language-model,huggingface-transformers,0.12031119755487635,0.014942047200111717,-0.10536915035476463
huggingface-transformers,transformer-model,0.03973325923867741,0.012568077084206116,-0.027165182154471293
bert-language-model,transformer-model,0.027785495971103084,0.00516687613461807,-0.022618619836485013
gpt-2,huggingface-transformers,0.013892747985551542,0.005585812037424941,-0.008306935948126601
bert-language-model,fine-tuning,0.0030564045568213394,0.0012568077084206116,-0.0017995968484007278
gpt-2,transformer-model,0.0022228396776882466,0.0006982265046781176,-0.001524613173010129
gpt-2,gpt-3,0.0013892747985551543,0.0005585812037424941,-0.0008306935948126603
gpt-3,huggingface-transformers,0.0011114198388441233,0.00041893590280687055,-0.0006924839360372527
bert-language-model,gpt-2,0.0008335648791330926,0.00041893590280687055,-0.000414628976326222
fine-tuning,openai-whisper,0.0002778549597110308,0.0,-0.0002778549597110308
openai-api,transformer-model,0.0005557099194220616,0.00027929060187124703,-0.0002764193175508146
gpt-2,openai-api,0.0011114198388441233,0.0008378718056137411,-0.0002735480332303822
gpt-3,transformer-model,0.0002778549597110308,0.00013964530093562352,-0.0001382096587754073
huggingface,transformer-model,0.0025006946373992774,0.0023739701159055998,-0.0001267245214936776
bert-language-model,huggingface,0.0027785495971103086,0.002653260717776847,-0.00012528887933346182
bert-language-model,chatgpt-api,0.0,0.0,0.0
chromadb,openai-whisper,0.0,0.0,0.0
chromadb,stable-diffusion,0.0,0.0,0.0
chromadb,transformer-model,0.0,0.0,0.0
fine-tuning,langchain,0.0,0.0,0.0
