louvain_id,n_members,n_labelled,dominant_taxonomy,purity
1,6602,24,mobile,0.75
0,6379,378,web_frontend,0.9444444444444444
8,6073,3,cloud_devops,0.6666666666666666
2,5843,100,ai_ml,0.94
61,5370,172,cloud_devops,0.9883720930232558
3,4756,21,databases,0.8571428571428571
10,3227,199,cloud_devops,0.9798994974874372
5,3195,12,mobile,0.6666666666666666
7,962,2,web_frontend,1.0
6,648,0,unlabelled,0.0
12,468,0,unlabelled,0.0
21,178,1,cloud_devops,1.0
17,149,0,unlabelled,0.0
19,139,0,unlabelled,0.0
22,77,0,unlabelled,0.0
20,47,0,unlabelled,0.0
27,17,0,unlabelled,0.0
23,16,0,unlabelled,0.0
24,15,0,unlabelled,0.0
28,13,0,unlabelled,0.0
25,10,0,unlabelled,0.0
40,9,0,unlabelled,0.0
34,9,0,unlabelled,0.0
29,6,0,unlabelled,0.0
32,6,0,unlabelled,0.0
37,6,0,unlabelled,0.0
30,6,0,unlabelled,0.0
35,5,0,unlabelled,0.0
60,4,0,unlabelled,0.0
49,3,0,unlabelled,0.0
36,3,0,unlabelled,0.0
11,3,0,unlabelled,0.0
33,3,0,unlabelled,0.0
26,3,0,unlabelled,0.0
4,2,0,unlabelled,0.0
16,2,0,unlabelled,0.0
15,2,0,unlabelled,0.0
18,2,0,unlabelled,0.0
14,2,0,unlabelled,0.0
38,2,0,unlabelled,0.0
31,2,0,unlabelled,0.0
9,2,0,unlabelled,0.0
13,2,0,unlabelled,0.0
43,2,0,unlabelled,0.0
44,2,0,unlabelled,0.0
41,2,0,unlabelled,0.0
39,2,0,unlabelled,0.0
46,2,0,unlabelled,0.0
47,2,0,unlabelled,0.0
48,2,0,unlabelled,0.0
50,2,0,unlabelled,0.0
51,2,0,unlabelled,0.0
52,2,0,unlabelled,0.0
45,2,0,unlabelled,0.0
42,2,0,unlabelled,0.0
54,2,0,unlabelled,0.0
53,2,0,unlabelled,0.0
55,2,0,unlabelled,0.0
56,2,0,unlabelled,0.0
58,2,0,unlabelled,0.0
57,2,0,unlabelled,0.0
59,2,0,unlabelled,0.0
62,2,0,unlabelled,0.0
63,2,0,unlabelled,0.0
64,2,0,unlabelled,0.0
65,2,0,unlabelled,0.0
66,2,0,unlabelled,0.0
67,2,0,unlabelled,0.0
68,2,0,unlabelled,0.0
69,2,0,unlabelled,0.0
70,2,0,unlabelled,0.0
